Atomic Number,Name,Symbol,El. Configuration,Atomic Mass (u),Atomic Radius (pm),Covalent Radius Pyykko (pm),Electronegativity (Ghosh),Electronegativity (Pauling)
79,Gold,Au,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s1']",196.966569,135.0,124.0,0.26137,2.4
80,Mercury,Hg,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s2']",200.592,150.0,133.0,0.16899999999999998,1.9
81,Thallium,Tl,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s2', '6p1']",204.38,190.0,144.0,0.173447,1.8
82,Lead,Pb,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s2', '6p2']",207.2,180.0,144.0,0.17791099999999999,1.8
83,Bismuth,Bi,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s2', '6p3']",208.9804,160.0,151.0,0.182377,1.9
84,Polonium,Po,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s2', '6p4']",209.0,190.0,145.0,0.186842,2.0
85,Astatine,At,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s2', '6p5']",210.0,,147.0,0.19130999999999998,2.2
86,Radon,Rn,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d10', '6s2', '6p6']",222.0,,142.0,0.195772,
87,Francium,Fr,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '7s1']",223.0,,223.0,0.08731,0.7
88,Radium,Ra,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '7s2']",226.0,215.0,200.99999999999997,0.09788999999999999,0.9
89,Actinium,Ac,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '6d1', '7s2']",227.0,195.0,186.0,0.10032999999999999,1.1
90,Thorium,Th,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '6d2', '7s2']",232.0377,180.0,175.0,0.10277,1.3
91,Protactinium,Pa,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f2', '6d1', '7s2']",231.03588,180.0,169.0,0.12149000000000001,1.5
92,Uranium,U,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f3', '6d1', '7s2']",238.02891,175.0,170.0,0.13207,1.7
93,Neptunium,Np,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '6s2', '4f14', '5d10', '6p6', '5f4', '6d1', '7s2']",237.0,175.0,171.0,0.14265,1.3
