iter	Passed	Remaining
583	5259	3746
584	5268	3737
585	5275	3726
586	5284	3718
587	5291	3707
588	5302	3699
589	5309	3689
590	5318	3680
591	5325	3670
592	5334	3661
593	5341	3651
594	5350	3642
595	5358	3632
596	5366	3622
597	5374	3612
598	5383	3603
599	5390	3593
600	5400	3585
601	5408	3575
602	5417	3566
603	5424	3556
604	5434	3548
605	5447	3541
606	5456	3532
607	5466	3524
608	5475	3515
609	5484	3506
610	5491	3496
611	5500	3487
612	5508	3477
613	5517	3468
614	5524	3458
615	5534	3449
616	5541	3439
617	5550	3430
618	5557	3420
619	5566	3411
620	5573	3401
621	5582	3392
622	5589	3382
623	5598	3373
624	5606	3363
625	5615	3354
626	5622	3344
627	5631	3335
628	5638	3325
629	5647	3316
630	5657	3308
631	5665	3298
632	5672	3288
633	5680	3279
634	5688	3269
635	5696	3260
636	5704	3250
637	5712	3241
638	5719	3231
639	5728	3222
640	5735	3212
641	5745	3204
642	5753	3194
643	5763	3185
644	5773	3177
645	5782	3168
646	5793	3160
647	5801	3151
648	5810	3142
649	5818	3132
650	5825	3123
651	5833	3113
652	5849	3108
653	5857	3099
654	5865	3089
655	5876	3081
656	5886	3073
657	5894	3063
658	5903	3054
659	5911	3045
660	5920	3036
661	5927	3026
662	5936	3017
663	5943	3007
664	5952	2998
665	5961	2989
666	5970	2980
667	5978	2971
668	5986	2962
669	5994	2952
670	6002	2943
671	6009	2933
672	6018	2924
673	6026	2914
674	6035	2906
675	6042	2896
676	6051	2887
677	6058	2877
678	6068	2868
679	6077	2859
680	6086	2850
681	6093	2841
682	6102	2832
683	6108	2822
684	6117	2813
685	6125	2803
686	6134	2794
687	6141	2785
688	6149	2775
689	6157	2766
690	6167	2757
691	6174	2748
692	6183	2739
693	6191	2729
694	6200	2720
695	6206	2711
696	6215	2702
697	6223	2692
698	6232	2683
699	6245	2676
700	6253	2667
701	6264	2659
702	6273	2650
703	6284	2642
704	6292	2632
705	6300	2623
706	6309	2614
707	6317	2605
708	6325	2596
709	6334	2587
710	6343	2578
711	6351	2568
712	6360	2560
713	6367	2550
714	6377	2542
715	6385	2532
716	6393	2523
717	6401	2514
718	6409	2505
719	6417	2495
720	6426	2486
721	6433	2477
722	6442	2468
723	6450	2459
724	6459	2450
725	6466	2440
726	6476	2431
727	6485	2422
728	6497	2415
729	6508	2407
730	6518	2398
731	6529	2390
732	6540	2382
733	6549	2373
734	6558	2364
735	6566	2355
736	6574	2346
737	6582	2336
738	6592	2328
739	6599	2318
740	6608	2309
741	6615	2300
742	6625	2291
743	6632	2282
744	6648	2275
745	6657	2266
746	6666	2257
747	6676	2249
748	6685	2240
749	6695	2231
750	6704	2222
751	6712	2213
752	6721	2204
753	6728	2195
754	6737	2186
755	6744	2176
756	6753	2167
757	6761	2158
758	6769	2149
759	6776	2140
760	6786	2131
761	6794	2122
762	6804	2113
763	6812	2104
764	6821	2095
765	6829	2086
766	6838	2077
767	6845	2067
768	6853	2058
